age,temp,race,capitalgain,capitalloss,hoursperweek,income,sex_1
39,77516,4,2174,0,40,0,1
50,83311,4,0,0,13,0,1
38,215646,4,0,0,40,0,1
53,234721,2,0,0,40,0,1
28,338409,2,0,0,40,0,0
37,284582,4,0,0,40,0,0
49,160187,2,0,0,16,0,0
52,209642,4,0,0,45,1,1
31,45781,4,14084,0,50,1,0
42,159449,4,5178,0,40,1,1
37,280464,2,0,0,80,1,1
30,141297,1,0,0,40,1,1
23,122272,4,0,0,30,0,0
32,205019,2,0,0,50,0,1
40,121772,1,0,0,40,1,1
34,245487,0,0,0,45,0,1
25,176756,4,0,0,35,0,1
32,186824,4,0,0,40,0,1
38,28887,4,0,0,50,0,1
43,292175,4,0,0,45,1,0
40,193524,4,0,0,60,1,1
54,302146,2,0,0,20,0,0
35,76845,2,0,0,40,0,1
43,117037,4,0,2042,40,0,1
59,109015,4,0,0,40,0,0
56,216851,4,0,0,40,1,1
19,168294,4,0,0,40,0,1
54,180211,1,0,0,60,1,1
39,367260,4,0,0,80,0,1
49,193366,4,0,0,40,0,1
23,190709,4,0,0,52,0,1
20,266015,2,0,0,44,0,1
45,386940,4,0,1408,40,0,1
30,59951,4,0,0,40,0,1
22,311512,2,0,0,15,0,1
48,242406,4,0,0,40,0,1
21,197200,4,0,0,40,0,1
19,544091,4,0,0,25,0,0
31,84154,4,0,0,38,1,1
48,265477,4,0,0,40,0,1
31,507875,4,0,0,43,0,1
53,88506,4,0,0,40,0,1
24,172987,4,0,0,50,0,1
49,94638,4,0,0,40,0,0
25,289980,4,0,0,35,0,1
57,337895,2,0,0,40,1,1
53,144361,4,0,0,38,0,1
44,128354,4,0,0,40,0,0
41,101603,4,0,0,40,0,1
29,271466,4,0,0,43,0,1
25,32275,3,0,0,40,0,0
18,226956,4,0,0,30,0,0
47,51835,4,0,1902,60,1,0
50,251585,4,0,0,55,1,1
47,109832,4,0,0,60,0,1
43,237993,4,0,0,40,1,1
46,216666,4,0,0,40,0,1
35,56352,4,0,0,40,0,1
41,147372,4,0,0,48,0,1
30,188146,4,5013,0,40,0,1
30,59496,4,2407,0,40,0,1
32,293936,4,0,0,40,0,1
48,149640,4,0,0,40,0,1
42,116632,4,0,0,45,1,1
29,105598,4,0,0,58,0,1
36,155537,4,0,0,40,0,1
28,183175,4,0,0,40,0,0
53,169846,4,0,0,40,1,0
49,191681,4,0,0,50,1,1
25,200681,4,0,0,40,0,1
19,101509,4,0,0,32,0,1
31,309974,2,0,0,40,0,0
29,162298,4,0,0,70,1,1
23,211678,4,0,0,40,0,1
79,124744,4,0,0,20,0,1
27,213921,4,0,0,40,0,1
40,32214,4,0,0,40,0,1
67,212759,4,0,0,2,0,1
18,309634,4,0,0,22,0,0
31,125927,4,0,0,40,0,1
18,446839,4,0,0,30,0,1
52,276515,4,0,0,40,0,1
46,51618,4,0,0,40,0,0
59,159937,4,0,0,48,0,1
44,343591,4,14344,0,40,1,0
53,346253,4,0,0,35,0,0
49,268234,4,0,0,40,1,1
33,202051,4,0,0,50,0,1
30,54334,4,0,0,40,0,1
43,410867,4,0,0,50,1,0
57,249977,4,0,0,40,0,1
37,286730,4,0,0,40,0,0
28,212563,2,0,0,25,0,0
30,117747,1,0,1573,35,0,0
34,226296,4,0,0,40,1,1
29,115585,4,0,0,50,0,1
48,191277,4,0,1902,60,1,1
37,202683,4,0,0,48,1,1
48,171095,4,0,0,40,0,0
32,249409,2,0,0,40,0,1
76,124191,4,0,0,40,1,1
44,198282,4,15024,0,60,1,1
47,149116,4,0,0,50,0,0
20,188300,4,0,0,40,0,0
29,103432,4,0,0,40,0,1
32,317660,4,7688,0,40,1,1
17,304873,4,34095,0,32,0,0
30,194901,4,0,0,40,0,1
31,189265,4,0,0,40,0,0
42,124692,4,0,0,40,0,1
24,432376,4,0,0,40,0,1
38,65324,4,0,0,40,1,1
56,335605,4,0,1887,50,1,1
28,377869,4,4064,0,25,0,0
36,102864,4,0,0,40,0,0
53,95647,4,0,0,50,0,1
56,303090,4,0,0,50,0,1
49,197371,2,0,0,40,1,1
55,247552,4,0,0,56,0,1
22,102632,4,0,0,41,0,1
21,199915,4,0,0,40,0,0
40,118853,4,0,0,60,0,1
30,77143,2,0,0,40,0,1
29,267989,4,0,0,50,1,1
19,301606,2,0,0,35,0,1
47,287828,4,0,0,40,1,0
